"lb_name";"lb_code";"ward_code";"ward_name";"ward_area_hectare";"green_area_hectare";"blue_area_hectare";"green_blue_area_hectare";"percent_green";"percent_blue";"percent_green_blue"
"Redbridge";"E09000026";"E05011247";"Loxford";109.143;38.0076;2.7722;40.7798;34.8237;2.53997;37.3637
"Redbridge";"E09000026";"E05011248";"Mayfield";186.183;79.1551;2.51067;81.6657;42.5146;1.3485;43.8631
"Redbridge";"E09000026";"E05011249";"Monkhams";279.546;164.045;1.40764;165.453;58.6828;0.503544;59.1864
"Redbridge";"E09000026";"E05011250";"Newbury";174.392;68.7218;0.180966;68.9028;39.4065;0.103769;39.5103
"Redbridge";"E09000026";"E05011251";"Seven Kings";181.636;66.0893;0.283261;66.3726;36.3856;0.15595;36.5415
"Redbridge";"E09000026";"E05011252";"South Woodford";204.043;90.8117;0.128691;90.9404;44.5062;0.0630703;44.5692
"Redbridge";"E09000026";"E05011253";"Valentines";180.126;78.7742;3.84977;82.624;43.7329;2.13726;45.8701
"Redbridge";"E09000026";"E05011254";"Wanstead Park";474.224;360.824;25.9982;386.822;76.0872;5.48226;81.5695
"Redbridge";"E09000026";"E05011255";"Wanstead Village";230.213;116.828;3.63875;120.467;50.7478;1.5806;52.3284
"Croydon";"E09000008";"E05011462";"Addiscombe East";154.055;56.0095;0.0052624;56.0148;36.3568;0.00341592;36.3602
"Croydon";"E09000008";"E05011463";"Addiscombe West";134.305;32.0475;0.00290305;32.0504;23.8618;0.00216154;23.8639
"Croydon";"E09000008";"E05011464";"Bensham Manor";144.147;40.3959;0.34118;40.737;28.0241;0.236689;28.2608
"Croydon";"E09000008";"E05011465";"Broad Green";195.215;35.4167;0.0015486;35.4183;18.1424;0.000793277;18.1432
"Croydon";"E09000008";"E05011466";"Coulsdon Town";452.138;254.598;0.114525;254.713;56.3098;0.0253296;56.3351
"Croydon";"E09000008";"E05011467";"Crystal Palace & Upper Norwood";258.256;139.061;0.13409;139.195;53.8461;0.0519215;53.8981
"Croydon";"E09000008";"E05011468";"Fairfield";146.745;17.8834;0.0231223;17.9065;12.1867;0.0157568;12.2025
"Croydon";"E09000008";"E05011469";"Kenley";519.683;371.571;0.274106;371.845;71.4996;0.0527448;71.5523
"Croydon";"E09000008";"E05011470";"New Addington North";141.477;41.1447;0.00325193;41.1479;29.0822;0.00229856;29.0845
"Croydon";"E09000008";"E05011471";"New Addington South";248.835;105.733;0.0310866;105.764;42.4913;0.0124929;42.5038
"Croydon";"E09000008";"E05011472";"Norbury & Pollards Hill";134.046;48.5739;0.109902;48.6838;36.2367;0.0819884;36.3187
